location,bedroom,bathroom,area_m2,price_usd,Neighborhood
Lavington,4.0,4.0,800.0,1126984.1,
Lavington,1.0,1.0,1.0,51587.3,
Westlands,4.0,4.0,4.0,155000.0,"General Mathenge,Westlands"
Kilimani,3.0,4.0,300.0,100000.0,"Kilimani,Dagoretti North"
Lavington,3.0,5.0,3.0,75000.0,"Hatheru Rd,Lavington,Dagoretti North"
Kilimani,3.0,4.0,227.0,135000.0,"Kilimani,Dagoretti North"
Kilimani,2.0,3.0,14.0,100000.0,"Off Denis Pritt,Kilimani,Dagoretti North"
Westlands,3.0,3.0,186.0,100000.0,"Westlands Area,Westlands"
Kilimani,2.0,2.0,2.0,65000.0,"Kilimani,Dagoretti North"
Westlands,2.0,2.0,2.0,95000.0,"Raphta rd,Rhapta Road,Westlands"
Runda,3.0,3.0,3.0,75000.0,"Thindigua,Thindigua"
Kileleshwa,3.0,2.0,3.0,65000.0,"Kileleshwa,Dagoretti North"
Westlands,1.0,1.0,1.0,85000.0,"Riverside,Westlands"
Westlands,3.0,3.0,3.0,220000.0,"Riverside Drive,Riverside,Westlands"
Westlands,3.0,3.0,3.0,120000.0,"Parklands,Westlands"
Westlands,0.0,1.0,0.0,50000.0,"Waiyaki Way,Westlands"
Lavington,2.0,2.0,2.0,85000.0,"Riara,Lavington,Dagoretti North"
Runda,1.0,1.0,90.0,12000.0,"nyali road,nyali road,Nyali Area,Nyali"
Runda,2.0,1.0,2.0,13000.0,"MUIRU,Ruaka,Kiambaa"
Runda,0.0,1.0,0.0,13000.0,"Ruaka,Kiambaa"
Runda,1.0,1.0,1.0,13000.0,"fisharies,mtambo bamburi road,Bamburi,Kisauni"
Runda,2.0,1.0,2.0,14000.0,"SHULE,Ruaka,Kiambaa"
Runda,2.0,1.0,2.0,15000.0,"Ruaka,Kiambaa"
Runda,1.0,1.0,45.0,15000.0,"Uthiru 87,Waiyaki Way,Uthiru/Ruthimitu,Dagoretti South"
Runda,0.0,1.0,0.0,15000.0,"Kiambu Road,Kiambu Road"
Runda,2.0,1.0,2.0,15000.0,"Zimmerman,Zimmermann,Roysambu"
Runda,2.0,2.0,2.0,16000.0,"MUCHATHA- NATIONAL OIL,Ruaka,Kiambaa"
Runda,1.0,1.0,1.0,16000.0,"Kasarani Area,Kasarani"
Runda,2.0,1.0,2.0,16000.0,"Along Kikuyu Road,Uthiru/Ruthimitu,Dagoretti South"
Runda,1.0,1.0,1.0,16000.0,"Ngong,Kajiado North"
Runda,1.0,1.0,1.0,16000.0,"Kahigu Road-Ruaka,Ruaka,Kiambaa"
Kilimani,3.0,3.0,3.0,98000.0,"Kindaruma Road,Kilimani,Dagoretti North"
Westlands,3.0,3.0,3.0,200000.0,"General Mathenge,Westlands"
Runda,1.0,1.0,1.0,16000.0,"Seasons,Kasarani Area,Kasarani"
Runda,1.0,1.0,1.0,17000.0,"Sub zone,Ngong"
Runda,2.0,2.0,2.0,17000.0,"SLAUGHTER,Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,17000.0,"Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,18000.0,"Ruaka-Banana,Ruaka,Kiambaa"
Runda,1.0,1.0,1.0,18000.0,"Bombolulu,Mombasa malindi road,Nyali Area,Nyali"
Runda,1.0,1.0,1.0,18000.0,"THOGOTO,Kikuyu Town,Kikuyu"
Runda,1.0,1.0,180.0,19000.0,"Shanzu serena,Serena,Nyali Area,Nyali"
Runda,1.0,1.0,2023.0,20000.0,"Ndwaru,Riruta,Dagoretti South"
Kilimani,2.0,2.0,2.0,70000.0,"Kilimani,Dagoretti North"
Kilimani,2.0,2.0,125.0,75000.0,"Arwings Kodheck,Kilimani,Dagoretti North"
Runda,1.0,1.0,4000.0,20000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,20000.0,"BYPASS,EASTERN BYPASS,Ruiru,Ruiru"
Runda,1.0,1.0,1.0,20000.0,"Ruaka,Kiambaa"
Runda,1.0,1.0,200.0,20000.0,"50,3rd avenue nyali,Nyali Area,Nyali"
Runda,2.0,2.0,2.0,20000.0,"RUMENYE,Ruaka,Kiambaa"
Runda,1.0,1.0,1200.0,20000.0,"links road,BEACH ROAD,Nyali Area,Nyali"
Runda,1.0,1.0,4000.0,20000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,20000.0,"Kisumu Central Area,Kisumu Central"
Runda,2.0,2.0,2.0,22000.0,"Kikuyu Town,Kikuyu"
