House_ID,Location,City_Town,Type_of_House,Bedrooms,Bathrooms,Lot_Size_sqft,House_Price_KSh,House_Tax_Rate_%,Year_Built,Proximity_to_City_km,Price_Change_Since_2020_KSh,Price_2020_KSh,Price_2021_KSh,Price_2022_KSh,Price_2023_KSh,Price_2024_KSh
1,Nyeri,Mathari,Townhouse,4,1,4410,55448692,4.6,1980,35.58,-9733534,49192658,60507326,49806419,59329218,60519673
2,Mombasa,Mtwapa,Bungalow,2,2,3343,23502404,3.49,1983,49.7,1233459,27825732,25193835,24571043,24277463,19765877
3,Malindi,Mambrui,Villa,6,6,661,43510154,2.75,1994,21.73,-2869182,35794096,42925111,47653081,45927348,43145355
4,Nairobi,Karen,Apartment,3,3,4199,60259667,4.58,1988,41.62,7407810,77837640,59588287,64051646,51047995,57412286
5,Nairobi,Kilimani,Mansion,2,1,2052,53670484,3.1,1981,37.51,12158636,64584822,56708675,60541215,50697007,49348702
6,Malindi,Mambrui,Apartment,2,1,912,50083574,1.78,1990,40.32,14668370,43683646,48177872,53137717,64008296,42054034
7,Nakuru,Naka,Townhouse,2,1,4233,71253899,4.17,2002,22.85,19009248,74199703,59416439,88371971,73706448,68779387
8,Mombasa,Likoni,Apartment,1,1,1288,91546552,2.77,2010,40.83,-13062402,101578180,99166328,109840430,112622254,96535166
9,Eldoret,West Indies,Townhouse,5,5,1120,19590003,2.85,2004,1.98,3151080,18410399,17199234,17081646,25305361,21631197
10,Eldoret,Langas,Villa,6,6,4695,72321736,2.23,2000,49.52,17392016,76333459,91700142,68993184,88253677,70834757
11,Thika,Juja,Mansion,5,4,2961,48344007,2.38,1982,30.69,4560954,57112212,43924384,48329986,57993576,40423402
12,Nakuru,Free Area,Townhouse,4,2,2400,55406722,4.74,2007,49.94,14522990,69012907,66719890,52027145,69167042,51509330
13,Malindi,Sabaki,Bungalow,3,1,4844,98598061,1.45,2002,11.41,-18326649,113778408,83789211,105055485,90656758,102231578
14,Thika,Kimathi,Mansion,5,3,4049,49807711,3.77,1985,23.91,3058036,56092065,45414102,60228532,59281762,46346193
15,Kisumu,Mamboleo,Villa,3,2,1172,16193975,2.14,2020,48.9,-3185423,19523917,14529931,15519422,15217325,18445913
16,Thika,Juja,Mansion,3,3,1671,93234641,1.27,2017,7.65,-9312615,114147035,94770446,114700246,75759089,96039275
17,Nairobi,Kilimani,Mansion,1,1,3225,38195884,4.38,1991,10.33,11422802,34637435,33142496,43169893,35610183,38771312
18,Machakos,Athi River,Townhouse,2,2,4022,55021828,1.15,2006,37.73,11889331,49801495,70973078,62821077,51324015,61189142
19,Nairobi,Karen,Apartment,4,4,1422,82005528,4.48,2000,26.36,22844425,83144464,82292642,98029501,74479059,79460983
20,Malindi,Watamu,Townhouse,6,1,1923,18166724,2.71,1993,9.77,2070058,22789568,19700649,20477040,20539399,18849789
21,Eldoret,Kapsoya,Villa,3,1,3712,27178625,1.25,1988,32.59,-4204552,23344386,34151579,27116443,32124121,34193875
22,Kericho,Ainamoi,Townhouse,4,2,3522,13248069,4.69,1986,35.87,2435535,15224724,10674530,15841299,13315013,15491805
23,Mombasa,Nyali,Townhouse,6,6,2862,15167976,4.14,1985,19.09,918202,12441283,17178512,17410369,15859393,14057992
24,Machakos,Athi River,Townhouse,3,2,4804,9769467,3.04,1981,3.64,1552534,11996303,10012430,7981787,9386559,9809899
25,Machakos,Katani,Townhouse,2,2,4111,23137053,3.94,2017,32.7,-2923768,27834084,29547752,29992165,24625272,23113739
26,Machakos,Katani,Townhouse,3,1,4535,92301432,2.8,1991,41.58,12104844,75557889,115101440,111221793,94052026,96257711
27,Kericho,Ainamoi,Mansion,3,1,527,42545729,4.6,1991,15.37,12678300,51998925,43969538,45863986,50265058,38153390
28,Malindi,Ganda,Townhouse,5,3,2898,57557329,2.77,1985,3.98,5485211,52754417,47117163,69105506,48056016,68193907
29,Malindi,Shela,Townhouse,5,4,2619,35744357,2.32,1995,5.62,9550878,30032196,35148940,34220945,34523460,40620372
30,Nakuru,London,Apartment,6,3,1385,94876511,2.48,2018,45.1,-8021858,82528870,87014214,119709091,120041012,90890728
31,Nairobi,Runda,Villa,5,2,4234,46393584,1.97,2016,16.53,270694,53047574,43791980,44056980,37565523,40089116
32,Nairobi,Kilimani,Apartment,5,2,1883,51153566,2.81,2003,2.99,1257572,49113591,44359050,60812749,52259792,47956963
33,Malindi,Shela,Bungalow,2,1,1237,95433191,3.18,2022,30.26,6680115,95185805,115808393,97718558,111911871,105484444
34,Nakuru,London,Apartment,4,3,868,18196613,2.54,1990,12.89,-1904230,22046689,19063496,15611018,19888191,23158859
35,Eldoret,Kapsoya,Mansion,1,1,4102,21031769,2.61,1984,31.39,3231615,18959926,17296179,21885351,18363487,17386145
36,Kisumu,Lolwe,Bungalow,2,1,2804,57778389,1.87,2012,36.34,-6212898,70013647,52427390,57558579,55928224,46475636
37,Nyeri,Ruring'u,Apartment,6,1,3896,5359035,4.41,1985,36.41,213444,5022315,5066727,5485360,5535362,5078710
38,Eldoret,Kapsoya,Villa,6,2,1970,44120863,1.59,1997,27.62,3945098,46527494,42524762,55785613,40077405,42993131
39,Mombasa,Nyali,Villa,5,3,3809,59260774,1.58,1989,44.58,12948693,53403815,50066478,66843626,55719922,61851598
40,Machakos,Athi River,Apartment,4,3,3759,22709801,4.77,2008,9.01,6032785,24674537,26967331,23947984,26982427,19275782
41,Kericho,Kapsoit,Townhouse,4,2,569,28137434,4.48,1985,18.26,6675345,34774732,35604767,29805123,23768085,34143200
42,Eldoret,Pioneer,Apartment,3,1,4891,34075905,1.2,2007,40.38,8083175,33753294,35695724,43381263,41368219,39703796
43,Nyeri,King'ong'o,Mansion,2,2,4285,7275164,1.4,2021,34.2,-253333,9155581,6550140,9017482,6887746,7296608
44,Kericho,Ainamoi,Villa,4,1,2494,31598827,3.37,1987,23.33,1938336,36139449,39228585,29247178,25661173,33672259
45,Malindi,Ganda,Mansion,1,1,782,70709284,2.13,2014,21.83,11663914,57657945,84478105,60602988,67030431,59196333
46,Malindi,Watamu,Villa,5,4,2106,71676173,3.32,2000,7.23,-3817748,63733477,90343358,79003208,85849898,67441539
47,Machakos,Mlolongo,Apartment,5,3,2450,12901594,3.3,1987,36.66,-1365728,11113756,16524451,11680495,10976246,12718868
48,Nyeri,Skuta,Mansion,2,1,4247,84571472,4.53,2017,26.24,15259682,95246743,74475545,99697365,69798789,83029406
49,Nakuru,Kiamunyi,Bungalow,4,2,2925,23561917,3.02,2007,42.3,-2061611,27132160,20634186,28789599,25561683,27992060
50,Kisumu,Mamboleo,Villa,1,1,3244,46577705,1.31,2013,33.01,3809154,49265637,49446079,49454334,53518870,60136869
51,Kericho,Motobo,Mansion,6,6,1846,33647768,4.53,1998,15.73,6783626,43681928,31888381,42764331,28387080,32922984
52,Malindi,Watamu,Mansion,5,1,1445,76519838,3.43,1990,10.1,7627544,87257907,61568172,68208679,78935270,95074630
53,Thika,Makongeni,Apartment,1,1,770,20699047,4.16,1997,39.39,-421463,21926477,22313499,25929225,26459445,24694069
54,Nairobi,Lavington,Villa,6,6,2234,32595326,4.69,2005,6.83,8711598,34104932,30153472,31779420,41788658,34898653
55,Eldoret,Kapsoya,Apartment,4,1,2537,25792669,1.85,2014,21.84,4146204,29375612,31892819,32263169,33480840,29845290
56,Eldoret,Pioneer,Villa,5,1,2861,10347078,2.7,2014,29.81,2524661,11889879,11910800,9500866,9666877,12492878
57,Nairobi,Westlands,Townhouse,5,4,3900,52273890,2.09,2016,43.2,14280832,43974207,44338599,41966582,62356718,44544863
58,Nairobi,Runda,Townhouse,1,1,4477,83069183,4.79,1999,5.6,-13637149,83409838,81034879,79237646,84785623,73258730
59,Nakuru,London,Bungalow,6,4,846,91308239,3.97,1990,14.62,5588197,73561736,113384967,105081713,86314084,96197776
60,Nairobi,Lavington,Apartment,1,1,4911,12537377,2.35,1993,30.88,355992,10517046,15137234,11569294,10987484,14227977
61,Nairobi,Runda,Bungalow,4,3,2502,4027956,3.11,2010,45.72,1079751,3323654,4428436,5096044,3429738,3741404
62,Machakos,Kangundo,Villa,5,5,4306,79109194,4.6,2004,39.32,14860840,99970091,74514544,83529135,88997463,76520872
63,Machakos,Athi River,Villa,4,1,1314,95253625,2.9,2005,47.94,-7911497,101070320,82507684,121172456,94034241,97086696
64,Malindi,Sabaki,Townhouse,3,2,1237,46947569,4.97,1981,45.47,5372831,56373294,54198568,38880960,41910493,46536558
65,Machakos,Mlolongo,Apartment,5,3,3382,42174850,4.26,2013,39.83,-5213869,40661563,39762667,49852175,38730264,54372916
66,Eldoret,Kapsoya,Townhouse,1,1,4553,40261988,2.12,1992,10.83,-887080,41494882,51436355,50837619,39590134,38735633
67,Kericho,Motobo,Mansion,4,2,3353,59212104,1.86,2022,4.1,-8669175,64008998,69008091,75299367,74835261,50432986
68,Kericho,Motobo,Mansion,2,2,4087,40955550,4.34,1988,5.56,4896344,47814568,41422489,39370056,52613923,51640999
69,Eldoret,Kapsoya,Mansion,4,1,1802,48491251,1.86,2008,1.66,8263847,53054260,45720157,52340396,48738482,52465864
70,Thika,Kimathi,Villa,3,2,4557,97223770,2.05,2002,26.26,11293738,78290675,109597201,99234987,119344474,91784076
71,Nyeri,King'ong'o,Apartment,1,1,2406,41277885,1.59,1988,46.88,6513099,52211227,51889073,46856918,37295435,39105669
72,Kisumu,Nyalenda,Bungalow,4,2,1229,30063419,3.08,2005,33.65,2950379,26597321,26318879,35292546,30727471,35683292
73,Nakuru,London,Villa,1,1,2101,8492681,4.33,2003,13.94,495132,10214614,10778114,10361760,9852099,9141762
74,Mombasa,Likoni,Townhouse,4,2,2522,84901064,3.89,2013,42.83,622314,99284568,105755277,99056907,82221386,72182070
75,Nairobi,Kilimani,Apartment,5,1,1232,56001273,4.0,1983,25.98,7389644,65382074,48097359,57962243,52455535,52662546
76,Mombasa,Bamburi,Bungalow,3,3,2360,77460249,1.56,2019,22.45,-2433275,72650102,88878761,61989882,73641997,68744749
77,Thika,Juja,Villa,4,1,1756,46537375,2.76,1993,27.08,11404174,41638304,60251002,57435033,47687236,55828843
78,Nairobi,Karen,Villa,1,1,1326,29992525,1.19,1995,2.99,8732734,36084703,30753161,25708133,37560558,35531441
79,Malindi,Ganda,Villa,3,1,4815,39943302,4.43,1993,35.78,10796605,36837736,39222338,32881064,44651844,38070276
80,Kericho,Litein,Apartment,5,5,586,55938115,1.64,1990,26.99,11611191,54001290,70597623,58087670,48077155,49789873
81,Mombasa,Mtwapa,Bungalow,2,2,4317,35349946,3.08,2010,46.75,8087229,29830673,36487762,40933228,31254662,32848007
82,Kisumu,Milimani,Apartment,5,2,4060,1824078,1.15,2003,13.86,-62071,1880264,2212002,2339847,1476114,2141349
83,Kericho,Ainamoi,Villa,6,3,2250,61928917,1.66,2017,6.37,9014133,61326083,71730432,62664376,77409944,62324465
84,Machakos,Athi River,Villa,5,4,2657,77413377,3.1,1983,20.58,-6875959,96441445,78223565,94142445,83997741,92336072
85,Kericho,Litein,Villa,5,1,4990,16587128,2.44,2010,10.19,-2767537,19854895,21035712,16867388,20855572,18992107
86,Eldoret,Kapsoya,Villa,4,4,4405,16322947,3.73,1988,17.96,902031,14751312,19070182,15843737,17192780,17859825
87,Kisumu,Nyamasaria,Townhouse,5,3,830,64732645,2.39,2009,27.15,4884296,66562601,58054942,53132894,69431734,55069831
88,Mombasa,Bamburi,Bungalow,5,4,2648,35566251,2.81,1999,5.35,-2764026,37272179,33512179,41310961,29939593,36438545
89,Nakuru,Free Area,Mansion,4,3,1670,1495270,2.83,2021,34.78,-219722,1352209,1874359,1885143,1204013,1400079
90,Thika,Makongeni,Apartment,5,3,4213,2577154,4.21,2010,40.73,-497735,2578634,3009672,2603296,2941537,2687947
91,Mombasa,Nyali,Townhouse,3,1,3713,17921057,4.41,1992,14.31,2944151,20467873,20894317,16314347,20065444,14894744
92,Machakos,Mlolongo,Bungalow,3,3,1069,95046253,3.67,1991,18.44,-474655,81515222,102163834,94391399,118593196,122162197
93,Eldoret,Pioneer,Apartment,6,5,4075,41423827,3.93,2005,43.46,11543276,51043348,53842831,53404202,42575203,49799112
94,Kisumu,Milimani,Townhouse,3,1,1867,3108327,3.57,2012,32.81,-438129,3784781,2545193,3979550,3895218,3903638
95,Eldoret,Pioneer,Mansion,6,5,4147,86946092,1.65,1982,16.15,-13556276,92217090,71791229,105456074,83164258,105609574
